CHILD ABUSE	2010-08-09 22:28:00	37.8095290	-122.2793480
PETTY THEFT	2010-10-01 11:30:00	37.8019510	-122.2723600
VANDALISM	2010-10-06 15:00:00	37.8170389	-122.2709984
STOLEN VEHICLE	2010-09-07 17:00:00	37.8123956	-122.2609289
VANDALISM	2010-07-25 00:00:00	37.8043722	-122.2708026
BURG - COMMERCIAL	2010-07-25 08:52:00	37.8156675	-122.2640288
BURG - AUTO	2010-10-29 17:15:00	37.8046797	-122.2635857
BURG - AUTO	2010-10-29 23:00:00	37.8181962	-122.2673832
PETTY THEFT	2010-10-07 00:00:00	37.8078220	-122.2685270
BURG - AUTO	2010-07-25 00:55:00	37.8051478	-122.2676887
DOMESTIC VIOLENCE	2010-08-29 10:57:00	37.8043722	-122.2708026
ROBBERY	2010-08-29 12:38:00	37.8043722	-122.2708026
MISDEMEANOR ASSAULT	2010-07-17 00:00:00	37.8052838	-122.2625181
FORCIBLE RAPE	2010-09-29 00:00:00	37.8029326	-122.2675742
FELONY ASSAULT	2010-10-29 18:45:00	37.8115213	-122.2770106
VANDALISM	2010-07-25 10:23:00	37.8146678	-122.2682643
OTHER	2010-10-01 00:00:00	37.8043722	-122.2708026
FELONY ASSAULT	2010-09-21 00:00:00	37.8109130	-122.2774461
PETTY THEFT	2010-10-05 00:00:00	37.8068540	-122.2744750
PROSTITUTION	2010-09-20 15:00:00	37.8013237	-122.2700621
FELONY ASSAULT	2010-09-20 16:25:00	37.8114132	-122.2796377
GRAND THEFT	2010-10-04 05:21:00	37.8091270	-122.2705310
PETTY THEFT	2010-10-29 07:00:00	37.8079985	-122.2762789
VANDALISM	2010-10-12 19:05:00	37.8100331	-122.2675342
GRAND THEFT	2010-10-13 21:35:00	37.8043722	-122.2708026
OTHER	2010-10-08 20:29:00	37.8138789	-122.2684639
STOLEN VEHICLE	2010-11-08 22:30:00	37.8043722	-122.2708026
DOMESTIC VIOLENCE	2010-07-24 20:20:00	37.8071008	-122.2739467
RECOVERED VEHICLE - OAKLAND STOLEN	2010-11-09 11:20:00	37.8043722	-122.2708026
BURG - AUTO	2010-08-20 05:05:00	37.8002163	-122.2782002
OTHER	2010-08-25 08:00:00	37.8068540	-122.2744750
PETTY THEFT	2010-07-25 14:30:00	37.8036273	-122.2715953
BURG - COMMERCIAL	2010-08-27 15:30:00	37.8011445	-122.2630318
ROBBERY	2010-10-08 15:00:00	37.8071181	-122.2721083
ROBBERY	2010-08-30 23:20:00	37.8126650	-122.2715490
BURG - RESIDENTIAL	2010-09-27 18:00:00	37.8111644	-122.2798960
BURG - RESIDENTIAL	2010-09-27 18:00:00	37.8111644	-122.2798960
BURG - RESIDENTIAL	2010-09-27 18:00:00	37.8111644	-122.2798960
NARCOTICS	2010-08-12 18:00:00	37.8043722	-122.2708026
ROBBERY	2010-07-24 11:50:00	37.8142867	-122.2723128
PETTY THEFT	2010-07-23 00:00:00	37.8122870	-122.2657890
MISDEMEANOR ASSAULT	2010-07-23 00:00:00	37.8068540	-122.2744750
VANDALISM	2010-08-01 10:00:00	37.8046808	-122.2635633
DISORDERLY CONDUCT	2010-07-23 19:34:00	37.8057360	-122.2747570
GRAND THEFT	2010-07-25 14:30:00	37.8113670	-122.2614230
FELONY WARRANT	2010-10-21 19:00:00	37.8043722	-122.2708026
POSSESSION - STOLEN PROPERTY	2010-10-21 18:30:00	37.8169924	-122.2716115
OTHER	2010-10-13 00:00:00	37.8043722	-122.2708026
DOMESTIC VIOLENCE	2010-09-20 13:30:00	37.8091460	-122.2714890
DOMESTIC VIOLENCE	2010-08-27 00:00:00	37.8114500	-122.2648230
DOMESTIC VIOLENCE	2010-08-26 15:00:00	37.8019793	-122.2652152
MISDEMEANOR ASSAULT	2010-08-06 00:00:00	37.8043722	-122.2708026
MISDEMEANOR ASSAULT	2010-10-11 14:35:00	37.8134106	-122.2647490
MISDEMEANOR ASSAULT	2010-08-10 00:00:00	37.8043722	-122.2708026
STOLEN VEHICLE	2010-07-18 00:00:00	37.8068540	-122.2744750
MISDEMEANOR ASSAULT	2010-08-30 20:00:00	37.8036273	-122.2715953
PETTY THEFT	2010-10-19 14:30:00	37.8145317	-122.2737927
VANDALISM	2010-08-26 17:45:00	37.8119790	-122.2689990
PETTY THEFT	2010-08-25 12:00:00	37.8068540	-122.2744750
OTHER	2010-08-05 22:27:00	37.8116361	-122.2630786
MISDEMEANOR ASSAULT	2010-08-06 22:30:00	37.8173384	-122.2676337
OTHER	2010-08-07 00:00:00	37.8068540	-122.2744750
MISDEMEANOR ASSAULT	2010-08-11 09:00:00	37.8068540	-122.2744750
BURG - AUTO	2010-08-25 06:30:00	37.8037415	-122.2611735
DRUNKENNESS	2010-09-03 00:00:00	37.8146678	-122.2682643
BURG - AUTO	2010-08-12 08:00:00	37.8037415	-122.2611735
ROBBERY	2010-08-02 19:00:00	37.8092619	-122.2737180
GRAND THEFT	2010-07-23 00:00:00	37.8068540	-122.2744750
PETTY THEFT	2010-07-18 11:00:00	37.8068540	-122.2744750
OTHER	2010-07-21 00:00:00	37.8169750	-122.2773820
OTHER	2010-07-21 00:00:00	37.8169750	-122.2773820
OTHER	2010-07-18 00:00:00	37.8068540	-122.2744750
VANDALISM	2010-07-23 14:25:00	37.8073076	-122.2677862
GRAND THEFT	2010-08-17 19:25:00	37.8050533	-122.2751869
BURG - AUTO	2010-07-24 00:30:00	37.8015500	-122.2713823
ROBBERY	2010-10-19 06:00:00	37.8109161	-122.2669624
DOMESTIC VIOLENCE	2010-11-09 18:30:00	37.8083741	-122.2698804
DOMESTIC VIOLENCE	2010-11-09 19:10:00	37.8043722	-122.2708026
BURG - AUTO	2010-07-22 23:00:00	37.8063385	-122.2719390
BURG - AUTO	2010-07-23 20:00:00	37.8043722	-122.2708026
BURG - AUTO	2010-07-24 01:00:00	37.8048242	-122.2693646
BURG - RESIDENTIAL	2010-07-30 10:30:00	37.8175809	-122.2730480
BURG - AUTO	2010-07-29 18:15:00	37.8071008	-122.2739467
VANDALISM	2010-07-30 00:40:00	37.8004091	-122.2720945
BURG - AUTO	2010-07-29 18:15:00	37.8071008	-122.2739467
DOMESTIC VIOLENCE	2010-07-19 07:00:00	37.8043722	-122.2708026
PETTY THEFT	2010-07-23 16:35:00	37.8029484	-122.2720313
ROBBERY	2010-09-20 16:00:00	37.8006287	-122.2704912
PETTY THEFT	2010-07-23 17:25:00	37.8029484	-122.2720313
ROBBERY	2010-08-11 15:30:00	37.8146678	-122.2682643
VANDALISM	2010-10-20 02:56:00	37.8044326	-122.2709189
GRAND THEFT	2010-07-21 10:05:00	37.8093061	-122.2627678
VANDALISM	2010-08-25 02:55:00	37.8068540	-122.2744750
STOLEN VEHICLE	2010-08-31 02:00:00	37.8043722	-122.2708026
MISDEMEANOR ASSAULT	2010-09-18 00:00:00	37.8068540	-122.2744750
MISDEMEANOR ASSAULT	2010-09-08 14:20:00	37.8068540	-122.2744750
BURG - OTHER	2010-09-14 00:00:00	37.8060460	-122.2748400
ROBBERY	2010-09-08 00:00:00	37.8156748	-122.2719734
MISDEMEANOR ASSAULT	2010-09-11 00:00:00	37.8066841	-122.2749895
MISDEMEANOR ASSAULT	2010-09-02 00:00:00	37.8068540	-122.2744750
PETTY THEFT	2010-08-31 08:55:00	37.8043722	-122.2708026
VANDALISM	2010-08-11 04:10:00	37.8088353	-122.2756493
OTHER	2010-10-13 00:00:00	37.8043722	-122.2708026
BURG - AUTO	2010-10-20 00:00:00	37.8029326	-122.2675742
GRAND THEFT	2010-08-19 14:00:00	37.8000057	-122.2798292
MISDEMEANOR ASSAULT	2010-10-15 00:00:00	37.8068540	-122.2744750
GRAND THEFT	2010-09-20 09:03:00	37.8023070	-122.2769450
BURG - AUTO	2010-10-12 05:25:00	37.8016075	-122.2773455
BURG - RESIDENTIAL	2010-09-20 06:48:00	37.8034090	-122.2729180
BURG - RESIDENTIAL	2010-09-18 20:00:00	37.8163680	-122.2603530
NARCOTICS	2010-10-04 13:12:00	37.8115402	-122.2770353
BURG - RESIDENTIAL	2010-09-13 17:00:00	37.8068540	-122.2744750
ROBBERY	2010-09-30 14:30:00	37.8068540	-122.2744750
PETTY THEFT	2010-10-04 00:00:00	37.8068540	-122.2744750
DOMESTIC VIOLENCE	2010-09-25 18:00:00	37.8068540	-122.2744750
NARCOTICS	2010-10-07 22:00:00	37.8126650	-122.2715490
OTHER SEX OFFENSES	2010-10-16 23:00:00	37.8043722	-122.2708026
MISDEMEANOR ASSAULT	2010-10-17 23:15:00	37.8114336	-122.2620475
ROBBERY	2010-10-17 23:20:00	37.8136805	-122.2673135
OTHER SEX OFFENSES	2010-09-25 18:20:00	37.8137222	-122.2756514
STOLEN VEHICLE	2010-09-24 08:15:00	37.8115402	-122.2770353
NARCOTICS	2010-09-26 12:52:00	37.8043722	-122.2708026
NARCOTICS	2010-09-26 12:52:00	37.8043722	-122.2708026
MISDEMEANOR ASSAULT	2010-09-26 02:30:00	37.8126650	-122.2715490
BURG - OTHER	2010-10-04 00:00:00	37.8068540	-122.2744750
OTHER	2010-09-28 00:00:00	37.8068540	-122.2744750
VANDALISM	2010-07-15 20:00:00	37.8104642	-122.2783696
VANDALISM	2010-07-20 05:30:00	37.8096038	-122.2646371
BURG - RESIDENTIAL	2010-10-04 01:00:00	37.8068540	-122.2744750
STOLEN VEHICLE	2010-09-20 08:30:00	37.8052866	-122.2780090
BURG - COMMERCIAL	2010-09-17 22:00:00	37.8034090	-122.2729180
OTHER	2010-10-29 00:00:00	37.8068540	-122.2744750
BURG - AUTO	2010-11-08 00:00:00	37.8043722	-122.2708026
ROBBERY	2010-09-11 07:25:00	37.8169924	-122.2716115
PETTY THEFT	2010-08-24 10:05:00	37.8004204	-122.2721235
MISDEMEANOR ASSAULT	2010-11-08 11:01:00	37.8134825	-122.2686075
OTHER	2010-08-20 10:30:00	37.8062773	-122.2703864
BURG - AUTO	2010-09-03 23:00:00	37.8078246	-122.2690874
VANDALISM	2010-08-15 20:15:00	37.8068540	-122.2744750
OTHER	2010-10-19 16:25:00	37.8177635	-122.2649511
ARSON	2010-11-05 14:30:00	37.8003607	-122.2632526
NARCOTICS	2010-09-03 11:43:00	37.8022881	-122.2769205
PETTY THEFT	2010-09-03 00:00:00	37.8068540	-122.2744750
PETTY THEFT	2010-08-16 00:00:00	37.8059350	-122.2633000
VANDALISM	2010-08-24 00:00:00	37.8068540	-122.2744750
MISDEMEANOR ASSAULT	2010-09-02 08:00:00	37.8126650	-122.2715490
NARCOTICS	2010-11-07 23:08:00	37.8159809	-122.2781236
MISDEMEANOR ASSAULT	2010-08-04 18:00:00	37.8180455	-122.2797843
